lambda,train_macro_f1,val_macro_f1,gap,diagnosis
0.0,0.9631813999098613,0.9577302605200163,0.005451139389844983,Good fit
0.0001,0.9630604835875646,0.9579378780979806,0.005122605489583987,Good fit
0.001,0.9636538301639774,0.9558325235369411,0.007821306627036284,Good fit
0.01,0.9540086403062018,0.9480279385551263,0.005980701751075457,Good fit
0.1,0.9412301873563192,0.9386351400959064,0.0025950472604128194,Underfitting
1.0,0.9135171654472467,0.9131734690272522,0.0003436964199945436,Underfitting
10.0,0.8422008862438191,0.8425992831117732,-0.00039839686795417606,Underfitting
50.0,0.4932870990792573,0.4954142581999707,-0.002127159120713429,Underfitting
100.0,0.017969307637401854,0.01797025194778913,-9.443103872776304e-07,Underfitting
500.0,0.017969307637401854,0.01797025194778913,-9.443103872776304e-07,Underfitting
1000.0,0.017969307637401854,0.01797025194778913,-9.443103872776304e-07,Underfitting
