Class,Precision,Recall,F1-score
0,0.97165991902834,0.9795918367346939,0.975609756097561
1,0.9765625,0.9911894273127754,0.9838216003498033
2,0.935546875,0.9282945736434108,0.9319066147859922
3,0.957,0.9475247524752475,0.9522388059701493
4,0.9568273092369478,0.9704684317718941,0.9635995955510618
5,0.9322974472807991,0.9417040358744395,0.9369771332961517
6,0.9759665621734587,0.9749478079331941,0.975456919060052
7,0.9606854838709677,0.9270428015564203,0.9435643564356435
8,0.9553752535496958,0.9671457905544147,0.9612244897959183
9,0.9492031872509961,0.9444995044598612,0.9468455042225534
